antecedent_codes,antecedent_labels,consequent_codes,consequent_labels,support,confidence,lift
CIR008 | CIR011,CIR008: Hypertension with complications and secondary hypertension | CIR011: Coronary atherosclerosis and other heart disease,FAC021 | FAC025,FAC021: Personal/family history of disease | FAC025: Other specified status,0.0636,0.5544,2.0456
FAC021 | FAC025 | GEN003,FAC021: Personal/family history of disease | FAC025: Other specified status | GEN003: Chronic kidney disease,END010,END010: Disorders of lipid metabolism,0.0535,0.6054,2.0446
CIR007 | FAC021 | FAC025,CIR007: Essential hypertension | FAC021: Personal/family history of disease | FAC025: Other specified status,END010,END010: Disorders of lipid metabolism,0.0603,0.6049,2.0431
FAC021 | GEN003,FAC021: Personal/family history of disease | GEN003: Chronic kidney disease,END010,END010: Disorders of lipid metabolism,0.0617,0.6021,2.0335
CIR008,CIR008: Hypertension with complications and secondary hypertension,END010,END010: Disorders of lipid metabolism,0.1425,0.6005,2.0281
CIR017 | FAC021,CIR017: Cardiac dysrhythmias | FAC021: Personal/family history of disease,END010,END010: Disorders of lipid metabolism,0.0565,0.5998,2.0259
CIR008 | END010,CIR008: Hypertension with complications and secondary hypertension | END010: Disorders of lipid metabolism,FAC021 | FAC025,FAC021: Personal/family history of disease | FAC025: Other specified status,0.0776,0.5444,2.0084
END003 | END010,END003: Diabetes mellitus with complication | END010: Disorders of lipid metabolism,FAC021 | FAC025,FAC021: Personal/family history of disease | FAC025: Other specified status,0.0509,0.5429,2.003
CIR008 | GEN003,CIR008: Hypertension with complications and secondary hypertension | GEN003: Chronic kidney disease,FAC021 | FAC025,FAC021: Personal/family history of disease | FAC025: Other specified status,0.0815,0.5424,2.0011
CIR008 | END003,CIR008: Hypertension with complications and secondary hypertension | END003: Diabetes mellitus with complication,FAC021 | FAC025,FAC021: Personal/family history of disease | FAC025: Other specified status,0.0534,0.5421,2.0001
